MITRE ATTACK Technique,P-SSCRM Task,Transitive (M1),LLM (M2),Framework (M3),Report (M4),Is Gap,Agreed Upon All Strategies
T1001,E.3.7,True,False,True,True,False,False
T1003,D.2.1,True,True,False,True,False,False
T1003,E.3.3,True,True,True,False,False,False
T1005,G.2.6,True,True,True,False,False,False
T1008,E.3.7,True,True,True,False,False,False
T1021,D.2.1,False,True,True,True,False,False
T1021,E.3.3,True,True,True,False,False,False
T1021,E.3.7,False,True,True,True,False,False
T1025,G.2.6,True,True,True,True,False,True
T1027,D.2.1,False,True,True,True,False,False
T1036,D.2.1,True,False,True,True,False,False
T1036,E.3.3,True,False,True,True,False,False
T1040,E.3.2,True,True,True,False,False,False
T1040,E.3.4,True,True,True,False,False,False
T1041,D.2.1,True,True,False,True,False,False
T1041,E.3.7,True,True,True,True,False,True
T1041,G.2.6,True,True,True,False,False,False
T1046,E.3.7,True,True,True,True,False,True
T1046,P.2.1,True,False,True,True,False,False
T1047,E.3.3,True,True,True,False,False,False
T1047,E.3.7,False,True,True,True,False,False
T1048,E.3.7,True,True,True,False,False,False
T1048,G.2.6,True,True,True,False,False,False
T1052,G.2.6,True,True,True,False,False,False
T1059,D.2.1,True,True,True,True,False,True
T1059,E.3.3,True,False,True,True,False,False
T1059,E.3.6,True,False,True,True,False,False
T1068,D.2.1,True,True,True,False,False,False
T1068,E.2.5,True,True,True,False,False,False
T1068,E.3.3,True,True,False,True,False,False
T1068,G.4.3,True,True,True,False,False,False
T1068,P.5.2,True,True,True,False,False,False
T1070,D.2.1,True,True,False,True,False,False
T1071,D.2.1,True,True,False,True,False,False
T1071,E.3.7,True,True,True,True,False,True
T1072,E.1.5,True,True,False,True,False,False
T1072,E.2.5,True,True,False,True,False,False
T1072,E.3.2,False,True,True,True,False,False
T1072,E.3.3,True,True,True,True,False,True
T1072,E.3.7,True,True,True,False,False,False
T1072,G.5.2,True,True,False,True,False,False
T1072,P.5.2,True,True,True,False,False,False
T1078,D.2.1,True,True,False,True,False,False
T1078,E.1.3,False,True,True,True,False,False
T1078,E.3.2,True,True,False,True,False,False
T1078,E.3.3,True,True,True,True,False,True
T1078,E.3.8,False,True,True,True,False,False
T1078,E.3.9,False,True,True,True,False,False
T1078,G.4.1,True,True,True,True,False,True
T1080,D.2.1,True,True,True,False,False,False
T1080,E.3.3,True,True,True,False,False,False
T1080,E.3.7,True,True,True,False,False,False
T1090,E.3.7,True,True,True,False,False,False
T1095,E.3.7,True,True,True,False,False,False
T1098,E.1.3,False,True,True,True,False,False
T1098,E.3.3,True,True,True,True,False,True
T1098,E.3.6,True,True,False,True,False,False
T1102,E.3.7,True,False,True,True,False,False
T1104,E.3.7,True,True,True,False,False,False
T1105,D.2.1,True,True,False,True,False,False
T1105,E.3.7,True,True,True,False,False,False
T1110,E.3.3,True,True,True,False,False,False
T1114,E.3.4,True,True,True,False,False,False
T1114,E.3.6,True,False,True,True,False,False
T1127,P.2.1,True,True,True,False,False,False
T1133,E.3.7,True,True,True,False,False,False
T1134,E.3.3,True,True,True,False,False,False
T1136,E.3.3,True,True,True,False,False,False
T1176,D.2.1,True,True,True,False,False,False
T1176,E.3.6,True,True,True,False,False,False
T1176,E.3.7,True,True,True,False,False,False
T1185,E.3.3,True,True,True,False,False,False
T1187,E.3.7,True,True,True,False,False,False
T1189,D.2.1,True,True,True,False,False,False
T1189,E.3.7,True,True,True,False,False,False
T1190,D.1.2,True,True,False,True,False,False
T1190,D.1.3,True,True,False,True,False,False
T1190,D.2.1,True,True,True,True,False,True
T1190,E.2.4,True,False,True,True,False,False
T1190,E.2.5,True,True,True,False,False,False
T1190,E.3.2,True,True,True,True,False,True
T1190,E.3.3,True,True,True,True,False,True
T1190,E.3.7,True,True,True,True,False,True
T1190,G.2.5,True,True,False,True,False,False
T1190,G.4.1,True,True,False,True,False,False
T1190,G.5.1,True,True,False,True,False,False
T1190,P.4.3,True,True,True,False,False,False
T1190,P.4.4,True,True,False,True,False,False
T1190,P.5.2,True,True,True,True,False,True
T1195,D.1.2,True,True,False,True,False,False
T1195,D.1.3,True,True,False,True,False,False
T1195,D.1.4,True,True,False,True,False,False
T1195,D.1.6,True,True,False,True,False,False
T1195,D.2.1,True,True,False,True,False,False
T1195,G.1.4,True,True,False,True,False,False
T1195,G.1.5,True,True,False,True,False,False
T1195,G.3.1,True,True,False,True,False,False
T1195,G.4.1,False,True,True,True,False,False
T1195,G.4.3,True,True,False,True,False,False
T1195,G.5.1,True,True,False,True,False,False
T1195,P.2.1,True,True,False,True,False,False
T1195,P.3.4,True,True,False,True,False,False
T1195,P.4.1,True,True,False,True,False,False
T1195,P.4.3,True,True,True,True,False,True
T1195,P.4.5,True,True,False,True,False,False
T1195,P.5.1,True,True,False,True,False,False
T1195,P.5.2,True,True,True,True,False,True
T1199,E.3.3,True,True,True,True,False,True
T1199,E.3.7,True,True,False,True,False,False
T1199,G.5.1,True,True,False,True,False,False
T1199,P.2.1,True,True,False,True,False,False
T1203,D.2.1,True,True,True,False,False,False
T1203,E.3.7,True,True,True,False,False,False
T1204,E.3.7,True,True,True,False,False,False
T1205,E.3.7,True,True,True,False,False,False
T1210,D.2.1,True,True,True,False,False,False
T1210,E.3.3,True,True,True,False,False,False
T1210,E.3.7,True,True,True,False,False,False
T1210,G.4.3,True,True,True,False,False,False
T1210,P.2.1,True,True,True,False,False,False
T1210,P.4.3,True,True,True,False,False,False
T1210,P.5.2,True,True,True,False,False,False
T1211,D.2.1,True,True,True,False,False,False
T1211,E.2.5,True,True,True,False,False,False
T1211,G.4.3,True,True,True,False,False,False
T1211,P.5.2,True,True,True,False,False,False
T1212,D.2.1,True,True,True,False,False,False
T1212,E.2.5,True,True,True,False,False,False
T1212,E.3.7,True,True,True,False,False,False
T1212,G.4.3,True,True,True,False,False,False
T1212,P.5.2,True,True,True,False,False,False
T1213,D.2.1,True,True,True,False,False,False
T1213,E.3.3,True,True,True,False,False,False
T1213,E.3.4,True,True,True,False,False,False
T1213,G.2.6,True,True,True,True,False,True
T1218,D.2.1,True,True,True,True,False,True
T1218,E.3.3,True,True,True,False,False,False
T1219,E.3.7,True,True,True,False,False,False
T1221,E.3.7,True,True,True,False,False,False
T1221,P.2.1,True,True,True,False,False,False
T1222,E.3.3,True,True,True,False,False,False
T1484,D.2.1,False,True,True,True,False,False
T1484,E.3.3,True,True,True,False,False,False
T1484,E.3.6,True,True,True,True,False,True
T1489,E.3.3,True,True,True,False,False,False
T1505,E.3.3,True,True,True,False,False,False
T1505,E.3.6,True,True,True,False,False,False
T1505,P.2.1,True,True,True,False,False,False
T1505,P.4.5,True,True,True,False,False,False
T1525,E.3.3,True,True,True,False,False,False
T1525,E.3.6,True,True,True,False,False,False
T1528,D.2.1,True,True,True,False,False,False
T1528,E.3.3,True,True,True,False,False,False
T1530,E.3.3,True,True,True,False,False,False
T1530,E.3.4,True,True,True,False,False,False
T1530,G.2.6,True,True,True,False,False,False
T1537,E.3.3,True,True,True,False,False,False
T1537,E.3.7,True,True,True,False,False,False
T1538,E.3.3,True,True,True,False,False,False
T1543,D.2.1,True,True,True,False,False,False
T1543,E.3.6,True,True,True,False,False,False
T1548,D.2.1,True,True,True,True,False,True
T1548,E.3.3,True,True,True,True,False,True
T1548,E.3.6,True,True,True,False,False,False
T1550,D.2.1,False,True,True,True,False,False
T1550,E.3.3,True,True,True,False,False,False
T1550,E.3.6,True,False,True,True,False,False
T1550,G.3.4,False,True,True,True,False,False
T1552,D.2.1,True,True,True,True,False,True
T1552,E.3.3,True,True,True,True,False,True
T1552,E.3.4,True,True,True,False,False,False
T1552,E.3.6,True,False,True,True,False,False
T1552,E.3.7,True,False,True,True,False,False
T1552,E.3.8,False,True,True,True,False,False
T1552,G.2.6,True,True,True,True,False,True
T1553,D.1.2,True,True,False,True,False,False
T1553,D.1.4,True,True,False,True,False,False
T1553,E.3.3,True,True,True,False,False,False
T1553,P.2.1,True,True,False,True,False,False
T1553,P.4.5,True,True,False,True,False,False
T1553,P.5.2,True,True,False,True,False,False
T1554,P.3.3,False,True,True,True,False,False
T1555,D.2.1,True,True,False,True,False,False
T1555,E.3.3,True,True,True,True,False,True
T1556,D.2.1,True,True,True,False,False,False
T1556,E.3.3,True,True,True,False,False,False
T1556,E.3.6,True,True,True,False,False,False
T1557,E.3.2,True,True,True,False,False,False
T1557,E.3.4,True,True,True,False,False,False
T1557,E.3.7,True,True,True,False,False,False
T1558,D.2.1,True,True,True,True,False,True
T1558,E.3.3,True,True,True,False,False,False
T1558,E.3.8,False,True,True,True,False,False
T1559,P.2.1,True,True,True,False,False,False
T1562,D.1.2,True,True,False,True,False,False
T1562,D.2.1,True,True,True,True,False,True
T1562,E.3.6,True,True,True,False,False,False
T1563,E.3.2,True,True,True,False,False,False
T1563,E.3.3,True,True,True,False,False,False
T1565,E.3.3,True,True,True,False,False,False
T1565,E.3.4,True,True,True,False,False,False
T1565,G.2.6,True,True,True,False,False,False
T1566,E.3.7,True,True,True,False,False,False
T1567,E.3.7,True,True,True,False,False,False
T1568,D.2.1,True,True,False,True,False,False
T1568,E.3.7,True,True,True,False,False,False
T1569,E.3.3,True,True,True,False,False,False
T1570,E.3.7,True,True,True,False,False,False
T1571,E.3.7,True,True,True,False,False,False
T1572,E.3.7,True,True,True,False,False,False
T1573,D.2.1,True,False,True,True,False,False
T1573,E.3.7,True,True,True,False,False,False
T1574,D.2.1,True,True,True,False,False,False
T1574,E.3.6,True,True,True,False,False,False
T1578,E.3.3,True,True,True,False,False,False
T1599,E.3.7,True,True,True,False,False,False
T1602,E.3.4,True,True,True,False,False,False
T1602,E.3.7,True,True,True,False,False,False
T1606,D.2.1,False,True,True,True,False,False
T1606,E.3.3,True,True,True,True,False,True
T1606,G.3.4,False,True,True,True,False,False
T1609,E.3.3,True,True,True,False,False,False
T1609,P.2.1,True,True,True,False,False,False
T1610,E.3.3,True,True,True,False,False,False
T1610,E.3.6,True,True,True,False,False,False
T1610,E.3.7,True,True,True,False,False,False
T1611,E.3.7,True,True,True,False,False,False
T1611,P.2.1,True,True,True,False,False,False
T1612,E.3.6,True,True,True,False,False,False
T1612,P.4.5,True,True,True,False,False,False
T1621,E.3.3,True,True,True,False,False,False
T1649,E.3.3,True,True,True,False,False,False
T1651,E.3.3,True,True,True,False,False,False
T1659,E.3.4,True,True,True,False,False,False
T1659,E.3.7,True,True,True,False,False,False
T1027,E.3.11,False,True,True,False,True,False
T1036,E.3.11,False,True,True,False,True,False
T1080,E.3.11,False,True,True,False,True,False
T1098,E.3.11,False,True,False,True,True,False
T1190,D.1.7,False,True,False,True,True,False
T1190,E.3.11,False,True,False,True,True,False
T1195,D.1.7,False,True,False,True,True,False
T1195,E.3.11,False,True,False,True,True,False
T1195,G.5.5,False,True,False,True,True,False
T1199,D.1.7,False,True,False,True,True,False
T1199,E.3.11,False,True,False,True,True,False
T1199,G.5.5,False,True,False,True,True,False
T1221,E.3.11,False,True,True,False,True,False
T1564,E.3.11,False,True,True,False,True,False
T1584,E.3.11,False,True,False,True,True,False
T1608,E.3.11,False,True,False,True,True,False
