MITRE_technique,PSSCRM_control
T1001,E.3.7
T1003,"D.2.1, E.3.3"
T1005,G.2.6
T1008,E.3.7
T1021,"D.2.1, E.3.3, E.3.7"
T1025,G.2.6
T1027,"D.2.1, E.3.11"
T1036,"D.2.1, E.3.3, E.3.11"
T1040,"E.3.2, E.3.4"
T1041,"D.2.1, E.3.7, G.2.6"
T1046,"E.3.7, P.2.1"
T1047,"E.3.3, E.3.7"
T1048,"E.3.7, G.2.6"
T1052,G.2.6
T1059,"D.2.1, E.3.3, E.3.6"
T1068,"D.2.1, E.2.5, E.3.3, G.4.3, P.5.2"
T1070,D.2.1
T1071,"D.2.1, E.3.7"
T1072,"E.1.5, E.2.5, E.3.2, E.3.3, E.3.7, G.5.2, P.5.2"
T1078,"D.2.1, E.1.3, E.3.2, E.3.3, E.3.8, E.3.9, G.4.1"
T1080,"D.2.1, E.3.3, E.3.7, E.3.11"
T1090,E.3.7
T1095,E.3.7
T1098,"E.1.3, E.3.3, E.3.6, E.3.11"
T1102,E.3.7
T1104,E.3.7
T1105,"D.2.1, E.3.7"
T1110,E.3.3
T1114,"E.3.4, E.3.6"
T1127,P.2.1
T1133,E.3.7
T1134,E.3.3
T1136,E.3.3
T1176,"D.2.1, E.3.6, E.3.7"
T1185,E.3.3
T1187,E.3.7
T1189,"D.2.1, E.3.7"
T1190,"D.1.2, D.1.3, D.2.1, E.2.4, E.2.5, E.3.2, E.3.3, E.3.7, G.2.5, G.4.1, G.5.1, P.4.3, P.4.4, P.5.2, D.1.7, E.3.11"
T1195,"D.1.2, D.1.3, D.1.4, D.1.6, D.2.1, G.1.4, G.1.5, G.3.1, G.4.1, G.4.3, G.5.1, P.2.1, P.3.4, P.4.1, P.4.3, P.4.5, P.5.1, P.5.2, D.1.7, E.3.11, G.5.5"
T1199,"E.3.3, E.3.7, G.5.1, P.2.1, D.1.7, E.3.11, G.5.5"
T1203,"D.2.1, E.3.7"
T1204,E.3.7
T1205,E.3.7
T1210,"D.2.1, E.3.3, E.3.7, G.4.3, P.2.1, P.4.3, P.5.2"
T1211,"D.2.1, E.2.5, G.4.3, P.5.2"
T1212,"D.2.1, E.2.5, E.3.7, G.4.3, P.5.2"
T1213,"D.2.1, E.3.3, E.3.4, G.2.6"
T1218,"D.2.1, E.3.3"
T1219,E.3.7
T1221,"E.3.7, P.2.1, E.3.11"
T1222,E.3.3
T1484,"D.2.1, E.3.3, E.3.6"
T1489,E.3.3
T1505,"E.3.3, E.3.6, P.2.1, P.4.5"
T1525,"E.3.3, E.3.6"
T1528,"D.2.1, E.3.3"
T1530,"E.3.3, E.3.4, G.2.6"
T1537,"E.3.3, E.3.7"
T1538,E.3.3
T1543,"D.2.1, E.3.6"
T1548,"D.2.1, E.3.3, E.3.6"
T1550,"D.2.1, E.3.3, E.3.6, G.3.4"
T1552,"D.2.1, E.3.3, E.3.4, E.3.6, E.3.7, E.3.8, G.2.6"
T1553,"D.1.2, D.1.4, E.3.3, P.2.1, P.4.5, P.5.2"
T1554,P.3.3
T1555,"D.2.1, E.3.3"
T1556,"D.2.1, E.3.3, E.3.6"
T1557,"E.3.2, E.3.4, E.3.7"
T1558,"D.2.1, E.3.3, E.3.8"
T1559,P.2.1
T1562,"D.1.2, D.2.1, E.3.6"
T1563,"E.3.2, E.3.3"
T1565,"E.3.3, E.3.4, G.2.6"
T1566,E.3.7
T1567,E.3.7
T1568,"D.2.1, E.3.7"
T1569,E.3.3
T1570,E.3.7
T1571,E.3.7
T1572,E.3.7
T1573,"D.2.1, E.3.7"
T1574,"D.2.1, E.3.6"
T1578,E.3.3
T1599,E.3.7
T1602,"E.3.4, E.3.7"
T1606,"D.2.1, E.3.3, G.3.4"
T1609,"E.3.3, P.2.1"
T1610,"E.3.3, E.3.6, E.3.7"
T1611,"E.3.7, P.2.1"
T1612,"E.3.6, P.4.5"
T1621,E.3.3
T1649,E.3.3
T1651,E.3.3
T1659,"E.3.4, E.3.7"
T1564,E.3.11
T1584,E.3.11
T1608,E.3.11
