MITRE ATTACK Technique,P-SSCRM Task,Transitive (M1),LLM (M2),Framework (M3),Report (M4),Is Gap,Agreed Upon All Strategies,Manual v1.1 Mapping
T1001,E.3.7,True,False,True,True,False,False,False
T1003,D.2.1,True,True,False,True,False,False,False
T1003,E.3.3,True,True,True,False,False,False,False
T1005,G.2.6,True,True,True,False,False,False,False
T1008,E.3.7,True,True,True,False,False,False,False
T1021,D.2.1,False,True,True,True,False,False,False
T1021,E.3.3,True,True,True,False,False,False,False
T1021,E.3.7,False,True,True,True,False,False,False
T1025,G.2.6,True,True,True,True,False,True,False
T1027,D.2.1,False,True,True,True,False,False,False
T1036,D.2.1,True,False,True,True,False,False,False
T1036,E.3.3,True,False,True,True,False,False,False
T1040,E.3.2,True,True,True,False,False,False,False
T1040,E.3.4,True,True,True,False,False,False,False
T1041,D.2.1,True,True,False,True,False,False,False
T1041,E.3.7,True,True,True,True,False,True,False
T1041,G.2.6,True,True,True,False,False,False,False
T1046,E.3.7,True,True,True,True,False,True,False
T1046,P.2.1,True,False,True,True,False,False,False
T1047,E.3.3,True,True,True,False,False,False,False
T1047,E.3.7,False,True,True,True,False,False,False
T1048,E.3.7,True,True,True,False,False,False,False
T1048,G.2.6,True,True,True,False,False,False,False
T1052,G.2.6,True,True,True,False,False,False,False
T1059,D.2.1,True,True,True,True,False,True,False
T1059,E.3.3,True,False,True,True,False,False,False
T1059,E.3.6,True,False,True,True,False,False,False
T1068,D.2.1,True,True,True,False,False,False,False
T1068,E.2.5,True,True,True,False,False,False,False
T1068,E.3.3,True,True,False,True,False,False,False
T1068,G.4.3,True,True,True,False,False,False,False
T1068,P.5.2,True,True,True,False,False,False,False
T1070,D.2.1,True,True,False,True,False,False,False
T1071,D.2.1,True,True,False,True,False,False,False
T1071,E.3.7,True,True,True,True,False,True,False
T1072,E.1.5,True,True,False,True,False,False,False
T1072,E.2.5,True,True,False,True,False,False,False
T1072,E.3.2,False,True,True,True,False,False,False
T1072,E.3.3,True,True,True,True,False,True,False
T1072,E.3.7,True,True,True,False,False,False,False
T1072,G.5.2,True,True,False,True,False,False,False
T1072,P.5.2,True,True,True,False,False,False,False
T1078,D.2.1,True,True,False,True,False,False,False
T1078,E.1.3,False,True,True,True,False,False,False
T1078,E.3.2,True,True,False,True,False,False,False
T1078,E.3.3,True,True,True,True,False,True,False
T1078,E.3.8,False,True,True,True,False,False,False
T1078,E.3.9,False,True,True,True,False,False,False
T1078,G.4.1,True,True,True,True,False,True,False
T1080,D.2.1,True,True,True,False,False,False,False
T1080,E.3.3,True,True,True,False,False,False,False
T1080,E.3.7,True,True,True,False,False,False,False
T1090,E.3.7,True,True,True,False,False,False,False
T1095,E.3.7,True,True,True,False,False,False,False
T1098,E.1.3,False,True,True,True,False,False,False
T1098,E.3.3,True,True,True,True,False,True,False
T1098,E.3.6,True,True,False,True,False,False,False
T1102,E.3.7,True,False,True,True,False,False,False
T1104,E.3.7,True,True,True,False,False,False,False
T1105,D.2.1,True,True,False,True,False,False,False
T1105,E.3.7,True,True,True,False,False,False,False
T1110,E.3.3,True,True,True,False,False,False,False
T1114,E.3.4,True,True,True,False,False,False,False
T1114,E.3.6,True,False,True,True,False,False,False
T1127,P.2.1,True,True,True,False,False,False,False
T1133,E.3.7,True,True,True,False,False,False,False
T1134,E.3.3,True,True,True,False,False,False,False
T1136,E.3.3,True,True,True,False,False,False,False
T1176,D.2.1,True,True,True,False,False,False,False
T1176,E.3.6,True,True,True,False,False,False,False
T1176,E.3.7,True,True,True,False,False,False,False
